Total Players: 1000 | Total Caught Pals: 308621 | Total Overall Pals: 71635 | Total Owned Pals: 69010 | Total Worker/Dropped Pals: 2625 | Total Initial Guilds: 1691 | Total Inactive Guilds: 768 | Total Active Guilds: 923 | Total Bases: 226 
Player: Mr. Democritus | UID: 3d3c44fa-0000-0000-0000-000000000000 | Level: 55 | Caught: 2214 | Owned: 600 | Encounters: 155 | Uniques: 153 | Last Online: 2024-09-24 00:33:16 (5h:13m:3s ago)
Player: Bonez | UID: b212f739-0000-0000-0000-000000000000 | Level: 27 | Caught: 200 | Owned: 89 | Encounters: 49 | Uniques: 49 | Last Online: 2024-09-14 18:20:33 (9d:11h:25m:46s ago)
Player: Nali | UID: 1f1f14a4-0000-0000-0000-000000000000 | Level: 45 | Caught: 532 | Owned: 425 | Encounters: 140 | Uniques: 133 | Last Online: 2024-09-22 23:24:52 (1d:6h:21m:27s ago)
Player: Ysiana | UID: 567fc206-0000-0000-0000-000000000000 | Level: 40 | Caught: 441 | Owned: 223 | Encounters: 63 | Uniques: 63 | Last Online: 2024-08-18 00:58:00 (37d:4h:48m:19s ago)
Player: yinsha | UID: b0c9202d-0000-0000-0000-000000000000 | Level: 39 | Caught: 411 | Owned: 249 | Encounters: 79 | Uniques: 79 | Last Online: 2024-08-18 00:13:30 (37d:5h:32m:49s ago)
Player: BTRXx_RAGExX | UID: 073a03ca-0000-0000-0000-000000000000 | Level: 49 | Caught: 1027 | Owned: 787 | Encounters: 137 | Uniques: 137 | Last Online: 2024-07-07 01:52:14 (79d:3h:54m:5s ago)
Player: Aknot | UID: 4b5e7ead-0000-0000-0000-000000000000 | Level: 4 | Caught: 2 | Owned: 2 | Encounters: 2 | Uniques: 2 | Last Online: 2024-09-13 18:44:45 (10d:11h:1m:34s ago)
Player: Lilith | UID: 3a820cff-0000-0000-0000-000000000000 | Level: 38 | Caught: 444 | Owned: 345 | Encounters: 110 | Uniques: 110 | Last Online: 2024-09-23 20:05:15 (9h:41m:4s ago)
Player: KingRuno | UID: fa2f1ee7-0000-0000-0000-000000000000 | Level: 5 | Caught: 1 | Owned: 1 | Encounters: 1 | Uniques: 1 | Last Online: 2024-08-18 20:19:41 (36d:9h:26m:38s ago)
Player: alicia | UID: 14effa88-0000-0000-0000-000000000000 | Level: 47 | Caught: 852 | Owned: 8 | Encounters: 117 | Uniques: 114 | Last Online: 2024-08-17 21:38:39 (37d:8h:7m:40s ago)
Player: ChaosAdams | UID: ae8e28ec-0000-0000-0000-000000000000 | Level: 6 | Caught: 8 | Owned: 8 | Encounters: 6 | Uniques: 6 | Last Online: 2024-09-01 12:10:58 (22d:17h:35m:21s ago)
Player: SenpaiJacky | UID: e16b79f1-0000-0000-0000-000000000000 | Level: 7 | Caught: 13 | Owned: 13 | Encounters: 8 | Uniques: 8 | Last Online: 2024-09-01 12:10:53 (22d:17h:35m:26s ago)
Player: Pamela | UID: a9899142-0000-0000-0000-000000000000 | Level: 39 | Caught: 352 | Owned: 351 | Encounters: 79 | Uniques: 74 | Last Online: 2024-09-01 16:46:35 (22d:12h:59m:44s ago)
Player: DjRafaS | UID: 2abb5ba3-0000-0000-0000-000000000000 | Level: 55 | Caught: 4561 | Owned: 818 | Encounters: 140 | Uniques: 140 | Last Online: 2024-09-24 03:00:10 (2h:46m:9s ago)
Player: PinkSlime | UID: 37e529d5-0000-0000-0000-000000000000 | Level: 18 | Caught: 37 | Owned: 29 | Encounters: 27 | Uniques: 27 | Last Online: 2024-09-02 18:08:30 (21d:11h:37m:49s ago)
Player: Bliss | UID: e02c492c-0000-0000-0000-000000000000 | Level: 52 | Caught: 2599 | Owned: 818 | Encounters: 140 | Uniques: 140 | Last Online: 2024-08-06 04:28:17 (49d:1h:18m:2s ago)
Player: KillJoy | UID: ff436bfe-0000-0000-0000-000000000000 | Level: 31 | Caught: 290 | Owned: 197 | Encounters: 75 | Uniques: 75 | Last Online: 2024-09-21 21:24:55 (2d:8h:21m:24s ago)
Player: Amaterasu | UID: 8dd02a1d-0000-0000-0000-000000000000 | Level: 55 | Caught: 20886 | Owned: 496 | Encounters: 150 | Uniques: 149 | Last Online: 2024-08-14 21:08:18 (40d:8h:38m:1s ago)
Player: Mokoto | UID: 05890de6-0000-0000-0000-000000000000 | Level: 55 | Caught: 1233 | Owned: 699 | Encounters: 148 | Uniques: 147 | Last Online: 2027-04-15 22:58:11 (-80673111s ago)
Player: 黏性物 | UID: 0e8eca8a-0000-0000-0000-000000000000 | Level: 4 | Caught: 2 | Owned: 3 | Encounters: 3 | Uniques: 2 | Last Online: 2024-09-20 11:10:55 (3d:18h:35m:24s ago)
Player: jasonshootrr | UID: dbbd4153-0000-0000-0000-000000000000 | Level: 3 | Caught: 1 | Owned: 1 | Encounters: 1 | Uniques: 1 | Last Online: 2024-09-20 11:10:53 (3d:18h:35m:26s ago)
Player: Nadziej | UID: 2cc1e6b8-0000-0000-0000-000000000000 | Level: 48 | Caught: 922 | Owned: 838 | Encounters: 121 | Uniques: 121 | Last Online: 2024-09-23 16:35:52 (13h:10m:27s ago)
Player: Not an NPC | UID: 96e4c6df-0000-0000-0000-000000000000 | Level: 44 | Caught: 660 | Owned: 378 | Encounters: 104 | Uniques: 104 | Last Online: 2024-09-16 03:26:00 (8d:2h:20m:19s ago)
Player: Yuki | UID: 0b2328f6-0000-0000-0000-000000000000 | Level: 55 | Caught: 7328 | Owned: 476 | Encounters: 156 | Uniques: 154 | Last Online: 2024-09-24 01:19:48 (4h:26m:31s ago)
Player: MIЯЯØЯƏ | UID: 7969c74b-0000-0000-0000-000000000000 | Level: 17 | Caught: 77 | Owned: 66 | Encounters: 29 | Uniques: 29 | Last Online: 2024-09-21 20:54:04 (2d:8h:52m:15s ago)
Player: Reckkzz | UID: a4a723c0-0000-0000-0000-000000000000 | Level: 6 | Caught: 1 | Owned: 1 | Encounters: 1 | Uniques: 1 | Last Online: 2024-09-09 01:42:56 (15d:4h:3m:23s ago)
Player: Mewing Shrek | UID: afe8f67d-0000-0000-0000-000000000000 | Level: 5 | Caught: 4 | Owned: 4 | Encounters: 3 | Uniques: 3 | Last Online: 2024-09-09 01:00:11 (15d:4h:46m:8s ago)
Player: MrsReckkzz | UID: e7b7c009-0000-0000-0000-000000000000 | Level: 5 | Caught: 2 | Owned: 2 | Encounters: 2 | Uniques: 2 | Last Online: 2024-09-09 01:18:20 (15d:4h:27m:59s ago)
Player: jcjc112 | UID: 19ae0458-0000-0000-0000-000000000000 | Level: 4 | Caught: 0 | Owned: 0 | Encounters: 0 | Uniques: 0 | Last Online: 2024-09-09 02:59:42 (15d:2h:46m:37s ago)
Player: Peekaboo | UID: e3d9aafd-0000-0000-0000-000000000000 | Level: 13 | Caught: 31 | Owned: 31 | Encounters: 7 | Uniques: 7 | Last Online: 2024-08-19 17:45:11 (35d:12h:1m:8s ago)
Player: Baron | UID: 05cfde34-0000-0000-0000-000000000000 | Level: 46 | Caught: 1244 | Owned: 327 | Encounters: 124 | Uniques: 124 | Last Online: 2024-06-21 20:59:41 (94d:8h:46m:38s ago)
Player: D MAN INSANE | UID: c06495e5-0000-0000-0000-000000000000 | Level: 38 | Caught: 424 | Owned: 364 | Encounters: 115 | Uniques: 115 | Last Online: 2024-09-23 23:52:05 (5h:54m:14s ago)
Player: NikoTheHound | UID: 10980f34-0000-0000-0000-000000000000 | Level: 31 | Caught: 216 | Owned: 162 | Encounters: 93 | Uniques: 91 | Last Online: 2024-09-23 23:53:35 (5h:52m:44s ago)
Player: Swoft | UID: e1c7ce0a-0000-0000-0000-000000000000 | Level: 30 | Caught: 194 | Owned: 87 | Encounters: 76 | Uniques: 74 | Last Online: 2024-09-09 21:05:38 (14d:8h:40m:41s ago)
Player: Or Uh | UID: 9caab84d-0000-0000-0000-000000000000 | Level: 54 | Caught: 1811 | Owned: 484 | Encounters: 155 | Uniques: 155 | Last Online: 2024-08-19 09:27:54 (35d:20h:18m:25s ago)
